feature,importance
monthly_logins,0.037952259753144195
avg_session_time,0.03541610155215688
usage_trend,0.03501779908141549
avg_resolution_time,0.03458622969195026
nps_score,0.03371146413646255
charge_shocks,0.033095778504401
tenure_months,0.03294403644406392
marketing_click_rate,0.03261244646670563
age,0.03196342750088222
usage_growth_rate,0.03145830162356344
email_open_rate,0.03120422984233755
last_login_days_ago,0.029903042395234482
charge_increase,0.029363748407749076
activity_ratio,0.028896334814056627
tenure_fee_interaction,0.0286727586972277
total_revenue,0.02854639789089001
avg_monthly_usage,0.02640178742879621
payment_failures,0.024372173741981484
csat_score,0.02415947446826059
referral_tenure,0.019664239169977712
weekly_active_days,0.018753997214481496
not_happy_customer,0.014633893564408673
support_tickets,0.014482083563929049
high_risk_flags11,0.012368315056743674
monthly_fee,0.01108546090591272
survey_response,0.009753690523354166
referral_count,0.00960317205085635
contract_type,0.009562608169032432
low_monthly_logins,0.009099158515647071
customer_segment,0.008992141259204592
escalations,0.0074739293323084245
"tenure_group_(0, 4]",0.007032511301805485
signup_channel_Web,0.0063596519184199885
high_risk_flags16,0.006272175464505626
signup_channel_Referral,0.005992231236326251
features_used_Medium,0.005771375163414059
discount_applied_Yes,0.0056032368578488876
complaint_type_Technical,0.005548192418351314
gender_Male,0.005505161810374059
gender_Female,0.005414065182281915
signup_channel_Mobile,0.00538450948746934
payment_method_Card,0.005270616915487022
features_used_Few,0.00522021171764841
city_Sydney,0.005070261154994449
country_Germany,0.005011085116795762
discount_applied_No,0.004966722552408786
negative_customer,0.004893473648517443
country_Canada,0.0047388304090401
auto_payment,0.0047236350292579376
complaint_type_Service,0.0046277592525581
city_Dhaka,0.004606015081529665
has_referrals,0.0045746659360086026
complaint_type_Billing,0.004571008650631286
payment_method_PayPal,0.004545379319442523
city_Delhi,0.004504726893917819
no_referrals,0.004397369432353419
country_Bangladesh,0.004360967333542956
city_New York,0.00431031841262909
city_Toronto,0.0043087733778511515
is_happy_customer,0.004304297956620753
price_increase_last_3m_Yes,0.004274281464557043
city_Berlin,0.004250825873778543
country_India,0.004227729914906348
country_UK,0.004212966930255208
payment_method_Bank Transfer,0.00415665090364584
price_increase_last_3m_No,0.0041410374662444235
country_Australia,0.004122166726999195
high_risk_flags5,0.003931245191730316
country_USA,0.0038684791795046518
budget_customer,0.0038625472111251885
"tenure_group_(4, 24]",0.0038142902750813784
city_London,0.0038106069614880556
loyal_monthly_customer,0.003418714667570249
"tenure_group_(36, 52]",0.0031581095603294054
high_risk_flags12,0.003128508287030776
high_risk_flags19,0.003024289515958298
low_total_revenue,0.0029328736906721227
"tenure_group_(24, 36]",0.002872828804798143
high_risk_flags6,0.0028539368381779564
is_new_customer,0.002852568206923565
high_fee_customer,0.0026829173270878875
high_risk_flags33,0.0022997769230138827
is_loyal_customer,0.002278181717399143
high_risk_flags14,0.0021311851483809645
high_referral_customer,0.002099121408877507
high_risk_flags2,0.0020790807799787136
high_escalations,0.0020689003151849504
"tenure_group_(52, 59]",0.0020330224128031044
high_risk_flags20,0.001618851673255103
high_risk_flags8,0.0014789604000113104
high_risk_flags27,0.0014345690699468822
high_risk_flags18,0.0013372995860062456
high_risk_flags15,0.0013265736854081542
high_risk_flags1,0.0012861195595693898
low_usage_csat,0.0011830727215016215
features_used_Many,0.0011432289079205402
low_logins_csat,0.0010880534434772478
high_risk_flags13,0.001075580969281915
high_risk_flags40,0.000996595583995966
high_risk_flags24,0.0009650075611771037
high_risk_flags36,0.0009612903838907409
high_risk_flags69,0.0009054928152908197
high_risk_flags7,0.000870256111090065
high_charge_increase,0.000827694546573023
high_risk_flags17,0.0008181930774015234
high_risk_flags29,0.0006999555879080245
high_risk_flags49,0.0006969686175854303
high_risk_flags43,0.0005100585085781421
high_risk_flags48,0.0004851860851367066
high_risk_flags37,0.00048432091588415167
high_risk_flags9,0.0004467740746530328
high_risk_flags53,0.0004002791976989462
high_risk_flags70,0.00030488042760305295
high_risk_flags39,0.000283241504923323
high_risk_flags25,0.0002491730778210365
high_risk_flags21,0.0002393878125829927
high_risk_flags22,0.0002357945342049338
high_risk_flags58,0.0002139395114803406
high_risk_flags50,0.0001945833195980798
high_risk_flags44,0.00014451277748425028
high_risk_flags45,0.00012880590281359058
high_risk_flags46,0.00011152537211233112
high_risk_flags66,9.900579103234675e-05
high_risk_flags31,6.0314461159622315e-05
high_risk_flags42,5.707943325553742e-05
high_risk_flags34,5.206294770611279e-05
high_risk_flags63,5.03384010713586e-05
high_risk_flags35,4.990888821707802e-05
high_risk_flags67,4.9393779659906426e-05
high_risk_flags62,4.6638019928894983e-05
high_risk_flags32,3.4121453556431616e-05
high_risk_flags64,2.703301485349599e-05
high_risk_flags73,2.5035702189706697e-05
high_risk_flags68,2.298952133816065e-05
high_risk_flags55,2.227802033670808e-05
high_risk_flags47,1.7935429923686624e-05
high_risk_flags72,6.59026418806993e-06
tickets_support,6.493045046132451e-06
high_risk_flags10,0.0
high_risk_flags23,0.0
high_risk_flags30,0.0
high_risk_flags41,0.0
high_risk_flags26,0.0
high_risk_flags28,0.0
high_risk_flags65,0.0
high_risk_flags54,0.0
high_risk_flags52,0.0
high_risk_flags56,0.0
high_risk_flags57,0.0
high_risk_flags51,0.0
high_risk_flags59,0.0
high_risk_flags60,0.0
high_risk_flags61,0.0
high_risk_flags74,0.0
high_risk_flags71,0.0
high_risk_flags75,0.0
high_risk_flags76,0.0
